,Symbol
0,20MICRONS
1,21STCENMGM
2,360ONE
3,3IINFOLTD
4,3MINDIA
5,3PLAND
6,4THDIM
7,5PAISA
8,63MOONS
9,8KMILES
10,A2ZINFRA
11,A2ZMES
12,AAATECH
13,AAKASH
14,AAREYDRUGS
15,AARON
16,AARTECH
17,AARTIDRUGS
18,AARTIIND
19,AARTIPHARM
20,AARTISURF
21,AARVEEDEN
22,AARVI
23,AAVAS
24,ABAN
25,ABANLLOYD
26,ABANLOYD
27,ABB
28,ABBALPO
29,ABBOTINDIA
30,ABCAPITAL
31,ABFRL
32,ABMINTLLTD
33,ABSHEKINDS
34,ABSIND
35,ABSLAMC
36,ABSLBANETF
37,ABSLNN50ET
38,ACC
39,ACCELYA
40,ACCURACY
41,ACE
42,ACEINTEG
43,ACI
44,ACKRUTI
45,ACL
46,ACLGATI
47,ACRYSIL
48,ADANIENSOL
49,ADANIENT
50,ADANIEXPO
51,ADANIGAS
52,ADANIGREEN
53,ADANIPORTS
54,ADANIPOWER
55,ADANITRANS
56,ADFFOODS
57,ADHUNIKIND
58,ADI
59,ADL
60,ADLABS
61,ADORWELD
62,ADROITINFO
63,ADSL
64,ADVANIHOTR
65,ADVANIORLI
66,ADVENZYMES
67,AEGISCHEM
68,AEROFLEX
69,AETHER
70,AFFLE
71,AFL
72,AGARIND
73,AGCNET
74,AGI
75,AGRITECH
76,AGROPHOS
77,AGSTRA
78,AHL
79,AHLADA
80,AHLEAST
81,AHLUCONT
82,AIAENG
83,AIL
84,AIRAN
85,AIROLAM
86,AJANTPHARM
87,AJMERA
88,AJOONI
89,AKASH
90,AKG
91,AKI
92,AKRUTI
93,AKSHAR
94,AKSHARCHEM
95,AKSHOPTFBR
96,AKZOINDIA
97,ALANKIT
98,ALBERTDAVD
99,ALEMBICLTD
100,ALICON
101,ALKALI
102,ALKEM
103,ALKYLAMINE
104,ALLCARGO
105,ALLSEC
106,ALMONDZ
107,ALOKINDS
108,ALPA
109,ALPHAGEO
110,ALPSINDUS
111,AMBER
112,AMBICAAGAR
113,AMBIKCO
114,AMBUJACEM
115,AMDIND
116,AMDMET
117,AMIORG
118,AMJLAND
119,AMNPLST
120,AMRUTANJAN
121,AMTREXAPPL
122,ANANDAMRUB
123,ANANDRATHI
124,ANANTRAJ
125,ANDHRAPAP
126,ANDHRSUGAR
127,ANGELBRKG
128,ANGELONE
129,ANIKINDS
130,ANKITMETAL
131,ANMOL
132,ANSALAPI
133,ANSALINFRA
134,ANTGRAPHIC
135,ANUP
136,ANURAS
137,APARINDS
138,APCL
139,APCOTEXIND
140,APCOTEXLAT
141,APEX
142,APIL
143,APLAPOLLO
144,APLLTD
145,APOLLO
146,APOLLOHOSP
147,APOLLOPIPE
148,APOLLOSIND
149,APOLLOTYRE
150,APOLSINHOT
151,APPAPER
152,APTECHT
153,APTUS
154,ARCHIDPLY
155,ARCHIES
156,ARE&M
157,ARENTERP
158,ARHAMFISCL
159,ARIES
160,ARIHANTCAP
161,ARIHANTSUP
162,ARMANFIN
163,AROGRANITE
164,ARROWCOAT
165,ARROWGREEN
166,ARROWGROUP
167,ARSHIYA
168,ARTEMISMED
169,ARTNIRMAN
170,ARVEE
171,ARVIND
172,ARVINDFASN
173,ARVINDMILL
174,ARVINFRA
175,ARVSMART
176,ASAHIINDIA
177,ASAHISONG
178,ASAL
179,ASALCBR
180,ASHAPURMIN
181,ASHIANA
182,ASHIMASYN
183,ASHOKA
184,ASHOKAMET
185,ASHOKLEY
186,ASIANENE
187,ASIANHOTNR
188,ASIANPAINT
189,ASIANTILES
190,ASKAUTOLTD
191,ASMS
192,ASPINWALL
193,ASTEC
194,ASTERDM
195,ASTRAIDL
196,ASTRAL
197,ASTRAMICRO
198,ASTRAZEN
199,ASTRON
200,ATALREAL
201,ATAM
202,ATFL
203,ATGL
204,ATL
205,ATLANTA
206,ATUL
207,ATULAUTO
208,ATULPROD
209,AUBANK
210,AURIONPRO
211,AUROPHARMA
212,AURUM
213,AUSOMENT
214,AUTOAXLES
215,AUTOIND
216,AVADHSUGAR
217,AVALON
218,AVANTIFEED
219,AVAYAGCL
220,AVENTIS
221,AVG
222,AVONMORE
223,AVROIND
224,AVTNPL
225,AWHCL
226,AWL
227,AXIS-IT&T
228,AXISBANK
229,AXISCADES
230,AXISGOLD
231,AXISNIFTY
232,AXITA
233,AYMSYNTEX
234,BAFNAPH
235,BAGFILMS
236,BAIDFIN
237,BAJAJ-AUTO
238,BAJAJAUTO
239,BAJAJCON
240,BAJAJCORP
